iter	RMSE
184	36.20219547
185	36.19786901
186	36.18889585
187	36.18240805
188	36.1774193
189	36.17440946
190	36.17159295
191	36.16811127
192	36.16327246
193	36.16066824
194	36.1583129
195	36.1549567
196	36.15256777
197	36.14757541
198	36.14327829
199	36.1369643
200	36.13114554
201	36.12889486
202	36.11895848
203	36.1168108
204	36.11298062
205	36.11101326
206	36.10870573
207	36.10535879
208	36.10232819
209	36.09932652
210	36.09215346
211	36.0898382
212	36.0873335
213	36.07958668
214	36.0756303
215	36.06872859
216	36.06265564
217	36.0579556
218	36.05625177
219	36.05245794
220	36.05025798
221	36.04617839
222	36.04428764
223	36.03889362
224	36.0310738
225	36.02772717
226	36.02129045
227	36.01715556
228	36.01378026
229	36.00878505
230	36.00592483
231	36.00312592
232	36.00006237
233	35.99745409
234	35.9913339
235	35.9867021
236	35.98239224
237	35.97957928
238	35.97524726
239	35.97269185
240	35.97003111
241	35.96812468
242	35.96606676
243	35.96291368
244	35.95373291
245	35.95185299
246	35.94772654
247	35.94119554
248	35.93760867
249	35.93398362
250	35.92823636
251	35.92558511
252	35.92245509
253	35.91711326
254	35.91514587
255	35.91252937
256	35.90712952
257	35.90539519
258	35.90372926
259	35.90099311
260	35.89631836
261	35.89233971
262	35.88932306
263	35.88735316
264	35.88442458
265	35.88218069
266	35.87877369
267	35.87583114
268	35.87240846
269	35.8704401
270	35.8682791
271	35.86671738
272	35.86427922
273	35.8616956
274	35.85932699
275	35.85596035
276	35.854095
277	35.85222267
278	35.85045347
279	35.84622551
280	35.84467599
281	35.84254081
282	35.83455954
283	35.82975885
284	35.82667208
285	35.82185276
286	35.82033951
287	35.81856228
288	35.81706171
289	35.81548258
290	35.81277818
291	35.81013007
292	35.80845363
293	35.80444329
294	35.80315564
295	35.79995772
296	35.79709327
297	35.79405804
298	35.78912571
299	35.78627832
300	35.78427398
301	35.78185808
302	35.77765663
303	35.77621612
304	35.77410199
305	35.76973872
306	35.76237012
307	35.75958551
308	35.75718452
309	35.75413889
310	35.75263349
311	35.74968407
312	35.74835648
313	35.74611306
314	35.74397699
315	35.74230188
316	35.73982006
317	35.73857989
318	35.73442265
319	35.73185747
320	35.7270433
321	35.72553711
322	35.71915026
323	35.71748818
324	35.71321724
325	35.71050814
326	35.70857538
327	35.7071275
328	35.70362131
329	35.70176894
330	35.69591993
331	35.69462698
332	35.69082285
333	35.6884314
334	35.68657882
335	35.68408168
336	35.68070681
337	35.67847896
338	35.67274039
339	35.67128857
340	35.66854523
341	35.6674027
342	35.66620013
343	35.66498436
344	35.66342445
345	35.66128371
346	35.65934633
347	35.65779833
348	35.65568627
349	35.65065534
350	35.64863687
351	35.64742614
352	35.64568478
353	35.6422635
354	35.6393393
355	35.63325305
356	35.62823063
357	35.62645151
358	35.62487884
359	35.62338656
360	35.62132488
361	35.61824564
362	35.61349379
363	35.61232636
364	35.60764392
365	35.60605846
366	35.60502501
367	35.60344494
368	35.60143489
369	35.600341
370	35.59795251
371	35.59598652
372	35.59416388
373	35.59268388
374	35.58884446
375	35.58679841
376	35.58404584
377	35.58173946
378	35.5773311
379	35.57484718
380	35.57368828
381	35.57233064
382	35.56742854
383	35.56586979
384	35.56412391
385	35.56152407
386	35.55984673
387	35.55789441
388	35.55529012
389	35.55348624
390	35.54947459
391	35.54811577
392	35.54565262
393	35.54186135
394	35.54078827
395	35.53916962
396	35.53721187
397	35.53497634
398	35.53281363
399	35.52773135
400	35.52670256
401	35.52583461
402	35.52177688
403	35.52057726
404	35.51892452
405	35.51586419
406	35.51480065
407	35.51319211
408	35.50984471
409	35.50894674
410	35.50692514
411	35.50608944
412	35.50396353
413	35.50151292
414	35.50050096
415	35.49902372
416	35.49627374
417	35.49552437
418	35.49479493
419	35.49245089
420	35.49107563
421	35.4895486
422	35.48823227
423	35.48687661
424	35.48399824
425	35.47675356
426	35.47315176
427	35.46902012
428	35.4676614
429	35.46398142
430	35.46049946
431	35.45933142
432	35.45705601
433	35.4522596
434	35.45118075
435	35.44823624
436	35.44667395
437	35.4450397
438	35.4437068
439	35.44147377
440	35.44025053
441	35.43785786
442	35.4363707
443	35.43528312
444	35.43270332
445	35.42871519
446	35.42460055
447	35.42097327
448	35.41936055
449	35.41842418
450	35.41660078
451	35.41426334
452	35.41170898
453	35.40911764
454	35.40478605
455	35.4032731
456	35.40234792
457	35.40158542
458	35.39944272
459	35.39719198
460	35.39567169
461	35.39410941
462	35.39287772
463	35.39215263
464	35.39075977
465	35.38933207
466	35.38679999
467	35.38520745
468	35.38197533
469	35.38080783
470	35.37985841
471	35.37833682
472	35.37655389
473	35.37360825
474	35.3723959
475	35.37003359
476	35.36871264
477	35.3676285
478	35.36652721
479	35.36410819
480	35.36268947
481	35.36136576
482	35.36064818
483	35.35729213
484	35.35583614
485	35.35462373
486	35.35300598
487	35.35003946
488	35.3480497
489	35.34713106
490	35.34450279
491	35.34023025
492	35.3389616
493	35.33806959
494	35.33680193
495	35.33436871
496	35.33305157
497	35.3317651
498	35.33041046
499	35.32894397
500	35.32741311
501	35.32618956
502	35.32541231
503	35.32365136
504	35.3221481
505	35.32112746
506	35.31489367
507	35.31271879
508	35.31053147
509	35.30977713
510	35.30882823
511	35.30602741
512	35.30541642
513	35.30379357
514	35.30214072
515	35.30124054
516	35.30025569
517	35.29627898
518	35.29075245
519	35.28931851
520	35.28655284
521	35.28414745
522	35.28238539
523	35.28046419
524	35.27896394
525	35.27532425
526	35.27330069
527	35.27082783
528	35.26868963
529	35.26735471
530	35.26566238
531	35.2645145
532	35.26118106
533	35.25951131
534	35.25809003
535	35.25727744
536	35.25563027
537	35.25435884
538	35.25377574
539	35.2520906
540	35.24991986
541	35.24893347
542	35.24724028
543	35.24635687
544	35.24453502
545	35.24236312
546	35.24087429
547	35.23794583
548	35.23692232
549	35.2355413
550	35.23417632
551	35.23273275
552	35.23136008
553	35.23039353
554	35.2284881
555	35.22770267
556	35.22584609
557	35.22507297
558	35.2235737
559	35.22218741
560	35.2205224
561	35.21899538
562	35.21676313
563	35.2152132
564	35.21421877
565	35.2133399
566	35.21069116
567	35.20757795
568	35.20594853
569	35.20519078
570	35.20354708
571	35.20234156
572	35.20068064
573	35.19918942
574	35.19839535
575	35.19636042
576	35.19550761
577	35.19244651
578	35.1917653
579	35.19113961
580	35.1896493
581	35.18814925
582	35.18636642
583	35.18429922
584	35.18274688
585	35.1802848
586	35.17957016
587	35.17821875
588	35.1772256
589	35.17569495
590	35.17450848
591	35.17079763
592	35.16994337
593	35.16847072
594	35.16771987
595	35.16457833
596	35.16129682
597	35.16074629
598	35.15977332
599	35.15743434
600	35.15644405
601	35.15372216
602	35.15279436
603	35.15181444
604	35.15123109
605	35.14940764
606	35.14694334
607	35.14621839
608	35.14557582
609	35.14392413
610	35.14313427
611	35.14167632
612	35.14066032
613	35.13952027
614	35.13825426
615	35.13608364
616	35.13483248
617	35.1323201
618	35.13085876
619	35.12919719
620	35.12814893
621	35.12702861
622	35.12563199
623	35.12484488
624	35.12404613
625	35.12222035
626	35.12092474
627	35.11862649
628	35.11727636
629	35.1156564
630	35.11463746
631	35.11349452
632	35.11269534
633	35.11172334
634	35.11006141
635	35.10902682
636	35.1085102
637	35.10584416
638	35.10349349
639	35.10236387
640	35.1012231
641	35.09998581
642	35.09908569
643	35.09776232
644	35.09669235
645	35.09541914
646	35.09443743
647	35.09391616
648	35.0927398
649	35.09205713
650	35.09038388
651	35.08913739
652	35.08805372
653	35.08668853
654	35.0853959
655	35.08422059
656	35.08359836
657	35.08267355
658	35.08069455
659	35.07795689
660	35.07640898
661	35.07520302
662	35.07405272
663	35.07098961
664	35.06969474
665	35.06733384
666	35.06667296
667	35.06585398
668	35.06314333
669	35.06197466
670	35.06124611
671	35.06015343
672	35.05716363
673	35.05451399
674	35.05408287
675	35.05284812
676	35.0513255
677	35.04887351
678	35.04807869
679	35.04610942
680	35.04493992
681	35.04380097
682	35.04318542
683	35.04236916
684	35.04151909
685	35.04104937
686	35.0404455
687	35.03911005
688	35.03810887
689	35.03731274
690	35.03610887
691	35.03513959
692	35.03419378
693	35.03376906
694	35.03294648
695	35.03174528
696	35.03113253
697	35.03045969
698	35.03000235
699	35.02759483
700	35.0256749
701	35.02371065
702	35.02301629
703	35.02125101
704	35.0190996
705	35.01770089
706	35.01561434
707	35.01472579
708	35.01167038
709	35.01085459
710	35.00815726
711	35.00679689
712	35.00625567
713	35.00499214
714	35.00332588
715	35.00131162
716	34.99997975
717	34.99814961
718	34.99671508
719	34.99523236
720	34.99268029
721	34.98864249
722	34.98735576
723	34.98491097
724	34.98275183
725	34.98204774
726	34.98154118
727	34.98050852
728	34.97881419
729	34.97739338
730	34.97700611
731	34.97531891
732	34.9746147
733	34.97400704
734	34.97346591
735	34.97219051
736	34.97074076
737	34.97001984
738	34.9671553
739	34.96602117
740	34.96428029
741	34.96338914
742	34.96145137
743	34.96108729
744	34.95930105
745	34.95821017
746	34.95771347
747	34.95611314
748	34.95345736
749	34.95239781
750	34.95147219
751	34.95047236
752	34.9496773
753	34.9488294
754	34.94775953
755	34.9472424
756	34.94270964
757	34.94195284
758	34.93986317
759	34.93859388
760	34.93651824
761	34.93495466
762	34.93318651
763	34.93223004
764	34.93115614
765	34.93045768
766	34.92951906
767	34.92846604
768	34.92676194
769	34.92579273
770	34.92436655
771	34.9230552
772	34.92191652
773	34.92119202
774	34.92064629
775	34.91985826
776	34.91880872
777	34.91774734
778	34.91655846
779	34.91588405
780	34.91491941
781	34.9142548
782	34.91271945
783	34.91148369
784	34.91058814
785	34.90831193
786	34.90672636
787	34.90587173
788	34.90438681
789	34.90332212
790	34.90254951
791	34.90172792
792	34.90072544
793	34.89951769
794	34.89873848
795	34.89749431
796	34.89685758
797	34.89283027
798	34.89203491
799	34.89157142
800	34.89071441
801	34.88892626
802	34.88786248
803	34.88745395
804	34.88664709
805	34.88490716
806	34.88300916
807	34.88258189
808	34.88223768
809	34.88171649
810	34.88054553
811	34.88022082
812	34.87945257
813	34.87886627
814	34.87666801
815	34.87486295
816	34.87409038
817	34.87303373
818	34.87176727
819	34.87090275
820	34.86986014
821	34.86795706
822	34.86649347
823	34.86563472
824	34.86455496
825	34.86360504
826	34.86274553
827	34.86207663
828	34.86116107
829	34.86006868
830	34.85938594
831	34.85902266
832	34.85793772
833	34.85562245
834	34.85498097
835	34.85432283
836	34.85311911
837	34.85196138
838	34.85055328
839	34.84957746
840	34.84749772
841	34.84674428
842	34.84572711
843	34.84421104
844	34.84271811
845	34.84183922
846	34.84107526
847	34.84047807
848	34.83930311
849	34.83831325
850	34.83740439
851	34.83618926
852	34.83572981
853	34.83478173
854	34.83433809
855	34.83368978
856	34.83133456
857	34.82946266
858	34.82802459
859	34.82606005
860	34.8245751
861	34.82376806
862	34.82296022
863	34.82192728
864	34.82096465
865	34.82064315
866	34.81967869
867	34.81871667
868	34.81794669
869	34.81659595
870	34.81561752
871	34.81457297
872	34.81401422
873	34.81325134
874	34.81147705
875	34.81067842
876	34.81017445
877	34.80855072
878	34.8051086
879	34.80446615
880	34.80260019
881	34.8018512
882	34.80122854
883	34.80018125
884	34.7991571
885	34.79859162
886	34.7981103
887	34.79661191
888	34.79553442
889	34.79500214
890	34.79413768
891	34.79320876
892	34.79127725
893	34.78999087
894	34.78767845
895	34.78677752
896	34.78585691
897	34.78536309
898	34.7844807
899	34.78273216
900	34.78074244
901	34.77906533
902	34.77784507
903	34.77661709
904	34.77533309
905	34.77489975
906	34.77409637
907	34.77184494
908	34.77124647
909	34.77041343
910	34.76721082
911	34.76588966
912	34.76504647
913	34.7633231
914	34.76287242
915	34.76140445
916	34.75949883
917	34.75870546
918	34.75820565
919	34.75777561
920	34.75713898
921	34.75626754
922	34.75545742
923	34.75468845
924	34.75403682
925	34.75298524
926	34.75193541
927	34.74812023
928	34.74689734
929	34.74488308
930	34.74394563
931	34.74295833
932	34.74012276
933	34.73961575
934	34.73879925
935	34.73832618
936	34.73712362
937	34.73678896
938	34.7358798
939	34.73517838
940	34.73370288
941	34.73302085
942	34.73193493
943	34.73005784
944	34.72775639
945	34.72703516
946	34.72634417
947	34.72526613
948	34.72434111
949	34.72343442
950	34.72134757
951	34.72066099
952	34.71977394
953	34.71886695
954	34.71860469
955	34.71783099
956	34.71671333
957	34.71575057
958	34.71517337
959	34.71407228
960	34.71282445
961	34.71164007
962	34.71115507
963	34.71054001
964	34.70929912
965	34.70886107
966	34.70752689
967	34.70679568
968	34.70478133
969	34.70300121
970	34.70137765
971	34.70006494
972	34.69967043
973	34.69838093
974	34.69753296
975	34.69710142
976	34.69594764
977	34.69503926
978	34.69320757
979	34.69228703
980	34.69148878
981	34.69088951
982	34.69025996
983	34.68854595
984	34.68746845
985	34.68585062
986	34.68511816
987	34.68434879
988	34.68390658
989	34.68294368
990	34.68218336
991	34.68165263
992	34.68066206
993	34.676454
994	34.67575021
995	34.67505517
996	34.6743687
997	34.67360963
998	34.67292117
999	34.67178819
